Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437912.12465032,10522335,0.768310729068185,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152917.26891875,7709811,0.720756154863102,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195654.05996697,6524407,0.66347070929711,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196491.27550688,6565041,0.665426114550255,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195756.7608918,6628652,0.668747618536649,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847268.248266531,5518887,0.84647842069125,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046757.5061876,10522335,0.900520416220582,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,14754556884,924390.296374959,7709811,0.880102080793555,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,19100037384,942740.037683418,6524407,0.855505636346197,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,19132169434,943099.509889917,6565041,0.856345221623153,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,Naive,Realtime,19075314980,942784.134007841,6628652,0.857771363769309,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,5518887,1,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,10522335,1,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,14754556884,0,7709811,1,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19100037384,0,6524407,1,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19132169434,0,6565041,1,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19075314980,0,6628652,1,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,8330435694,5518887,5518887,0,796114258,8330435694,2262271397,764418132,5589917696,8,102.8
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,25705994498,10522335,10522335,0,983559312,25705994498,3633784805,2064743484,5565636608,8,101.7
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,14754556884,7709811,7709811,0,868580047,14754556884,2790214663,1263559323,5568385024,8,102
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19100037384,6524407,6524407,0,885821919,19100037384,2803919198,1260710247,5593608192,8,102.5
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19132169434,6565041,6565041,0,886159688,19132169434,2806546218,1263247141,5596430336,8,102.4
asok02,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19075314980,6628652,6628652,0,885863353,19075314980,2803238232,1260193770,5585924096,8,102.5
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,8330435694,0,50515,1,796068582,8330435694,152439804,857936,1282482176,2,183.9
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,25705994498,0,86996,1,983513636,25705994498,340008030,859479,1587306496,2,187.8
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19100037384,0,78683,1,885773065,19100037384,242285893,896360,1578684416,2,172.2
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19075314980,0,79840,1,885814499,19075314980,242321398,899765,1535918080,2,174.3
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19132169434,0,67567,1,886110834,19132169434,242619086,921364,1558118400,2,190.5
asok02,EAGER-0,eager,qualimap,Lotaru-G,Realtime,14754556884,0,64447,1,868531193,14754556884,225023781,866999,1559977984,2,190.4
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,8330435694,21259.7617435689,50515,0.579139626970822,796068582,8330435694,152439804,857936,1282482176,2,183.9
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,25705994498,26265.6585697426,86996,0.698081997221221,983513636,25705994498,340008030,859479,1587306496,2,187.8
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,19100037384,23655.4045047978,78683,0.699358126853351,885773065,19100037384,242285893,896360,1578684416,2,172.2
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,19075314980,23656.5110388176,79840,0.703701014042866,885814499,19075314980,242321398,899765,1535918080,2,174.3
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,19132169434,23664.4249442759,67567,0.649763568838695,886110834,19132169434,242619086,921364,1558118400,2,190.5
asok02,EAGER-0,eager,qualimap,OnlineP,Realtime,14754556884,23194.9440632964,64447,0.640092726375217,868531193,14754556884,225023781,866999,1559977984,2,190.4
asok02,EAGER-0,eager,qualimap,OnlineM,Realtime,8330435694,21259.7617435689,50515,0.579139626970822,796068582,8330435694,152439804,857936,1282482176,2,183.9
asok02,EAGER-0,eager,qualimap,OnlineM,Realtime,25705994498,26265.6585697426,86996,0.698081997221221,983513636,25705994498,340008030,859479,1587306496,2,187.8
