Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
local,EAGER-0,eager,preseq,Naive,Realtime,25705994498,38522.822479227,43820,0.120884927448036,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,preseq,Lotaru-A,Realtime,8330435694,0,14330,1,123357956,8330435694,123406590,52056,7749632,1,96.3
local,EAGER-0,eager,preseq,Lotaru-A,Realtime,25705994498,0,43820,1,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,preseq,Perfect,Realtime,8330435694,14330,14330,0,123357956,8330435694,123406590,52056,7749632,1,96.3
local,EAGER-0,eager,preseq,Perfect,Realtime,25705994498,43820,43820,0,339126029,25705994498,339174668,169879,7708672,1,98.2
local,EAGER-0,eager,bwa,Lotaru-G,Realtime,8330435694,0,1402931,1,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,Lotaru-G,Realtime,25705994498,0,4421482,1,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,bwa,OnlineP,Realtime,8330435694,1400186.07699455,1402931,0.00195656308503747,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,OnlineP,Realtime,25705994498,4289530.64574897,4421482,0.0298432413048457,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,bwa,OnlineM,Realtime,8330435694,1400186.07699455,1402931,0.00195656308503747,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,OnlineM,Realtime,25705994498,4289530.64574897,4421482,0.0298432413048457,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,bwa,Naive,Realtime,8330435694,1492399.10268568,1402931,0.0637722758180382,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,Naive,Realtime,25705994498,4572029.24085597,4421482,0.0340490452875234,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,bwa,Lotaru-A,Realtime,8330435694,0,1402931,1,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,Lotaru-A,Realtime,25705994498,0,4421482,1,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,bwa,Perfect,Realtime,8330435694,1402931,1402931,0,2100729326,8330435694,60040240198,3482426110,3983355904,8,699.7
local,EAGER-0,eager,bwa,Perfect,Realtime,25705994498,4421482,4421482,0,6435675208,25705994498,183324076542,11492089144,7850807296,8,694.9
local,EAGER-0,eager,samtools_flagstat_after_filter,Lotaru-G,Realtime,8330435694,0,1617,1,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,Lotaru-G,Realtime,25705994498,0,4184,1,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,samtools_flagstat_after_filter,OnlineP,Realtime,8330435694,1384.50406450946,1617,0.143782273030639,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,OnlineP,Realtime,25705994498,3791.82245192477,4184,0.0937326835743848,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,samtools_flagstat_after_filter,OnlineM,Realtime,8330435694,1384.50406450946,1617,0.143782273030639,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,OnlineM,Realtime,25705994498,3791.82245192477,4184,0.0937326835743848,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,samtools_flagstat_after_filter,Naive,Realtime,8330435694,1886.95226659999,1617,0.166946361533699,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,Naive,Realtime,25705994498,5167.90680043202,4184,0.235159369128111,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,samtools_flagstat_after_filter,Lotaru-A,Realtime,8330435694,0,1617,1,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,Lotaru-A,Realtime,25705994498,0,4184,1,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,samtools_flagstat_after_filter,Perfect,Realtime,8330435694,1617,1617,0,124026140,8330435694,123406588,578,4853760,1,95.7
local,EAGER-0,eager,samtools_flagstat_after_filter,Perfect,Realtime,25705994498,4184,4184,0,339677661,25705994498,339174665,578,4640768,1,94.9
local,EAGER-0,eager,fastqc,Lotaru-G,Realtime,8330435694,0,115314,1,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,Lotaru-G,Realtime,25705994498,0,393998,1,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,fastqc,OnlineP,Realtime,8330435694,154017.299162262,115314,0.335634000748062,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,OnlineP,Realtime,25705994498,475265.399109139,393998,0.206263481309903,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,fastqc,OnlineM,Realtime,8330435694,154017.299162262,115314,0.335634000748062,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,OnlineM,Realtime,25705994498,475265.399109139,393998,0.206263481309903,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,fastqc,Naive,Realtime,8330435694,587963.231411575,115314,4.09880180560535,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,Naive,Realtime,25705994498,1814332.42472278,393998,3.60492800654517,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,fastqc,Lotaru-A,Realtime,8330435694,0,115314,1,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,Lotaru-A,Realtime,25705994498,0,393998,1,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,fastqc,Perfect,Realtime,8330435694,115314,115314,0,8330435694,8330435694,1561224162,2041898,350736384,2,195.4
local,EAGER-0,eager,fastqc,Perfect,Realtime,25705994498,393998,393998,0,25705994498,25705994498,4387605551,2085454,393506816,2,169.8
local,EAGER-0,eager,samtools_flagstat,Lotaru-G,Realtime,8330435694,0,5162,1,434366225,8330435694,433873169,578,4726784,1,88.2
local,EAGER-0,eager,samtools_flagstat,Lotaru-G,Realtime,25705994498,0,14139,1,1260618173,25705994498,1260149155,580,4653056,1,95
local,EAGER-0,eager,samtools_flagstat,OnlineP,Realtime,8330435694,5049.09228412704,5162,0.021872862431801,434366225,8330435694,433873169,578,4726784,1,88.2
local,EAGER-0,eager,samtools_flagstat,OnlineP,Realtime,25705994498,14653.4816111097,14139,0.0363874114937181,1260618173,25705994498,1260149155,580,4653056,1,95
local,EAGER-0,eager,samtools_flagstat,OnlineM,Realtime,8330435694,5049.09228412704,5162,0.021872862431801,434366225,8330435694,433873169,578,4726784,1,88.2
local,EAGER-0,eager,samtools_flagstat,OnlineM,Realtime,25705994498,14653.4816111097,14139,0.0363874114937181,1260618173,25705994498,1260149155,580,4653056,1,95
local,EAGER-0,eager,samtools_flagstat,Naive,Realtime,8330435694,5980.78160657182,5162,0.158617126418408,434366225,8330435694,433873169,578,4726784,1,88.2
local,EAGER-0,eager,samtools_flagstat,Naive,Realtime,25705994498,17357.4314669345,14139,0.227627941646124,1260618173,25705994498,1260149155,580,4653056,1,95
local,EAGER-0,eager,samtools_flagstat,Lotaru-A,Realtime,8330435694,0,5162,1,434366225,8330435694,433873169,578,4726784,1,88.2
local,EAGER-0,eager,samtools_flagstat,Lotaru-A,Realtime,25705994498,0,14139,1,1260618173,25705994498,1260149155,580,4653056,1,95
local,EAGER-0,eager,samtools_flagstat,Perfect,Realtime,8330435694,5162,5162,0,434366225,8330435694,433873169,578,4726784,1,88.2
